"TOA5","036_WAN","CR800","45590","CR800.Std.32.05","CPU:Acker_V2_72b.CR8","42956","LTZ"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Rain_mm_Tot","SlrW_Avg","LWmV_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","T107_C_Avg","T107_C_SOIL_Avg","VWC_Avg","EC_Max","TB20_Avg","WS_ms_Max"
"TS","RN","Deg C","%","mm","W/m^2","mV","meters/second","Deg","Deg","Deg C","","l/l","dS/m","","meters/second"
"","","Avg","Avg","Tot","Avg","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Max","Avg","Max"
"2024-01-01 00:00:00",28758,3.769,93.4,0,0.078,267.5,1.01,267.4,17.26,"NAN","NAN","NAN",0,0,2.17
"2024-01-01 17:30:00",	28863,	4.827,	90.5,	0,	0.205,	266.7,	0.967,	268.2,	8.72,	"NAN",	"NAN",	"NAN",	0,	0,	1.36
"2024-01-01 17:40:00",	28864,	4.684,	91,	0,	0.061,	266.8,	1.029,	277,	9.7,	"NAN",	"NAN",	"NAN",	0,	0,	2.08
"2024-01-01 17:50:00",	28865,	4.691,	90.5,	0,	0.133,	266.8,	0.992,	280.8,	14.08,	"NAN",	"NAN",	"NAN",	0,	0,	2.17
"2024-01-01 18:00:00",	28866,	4.748,	89.8,	0,	0.061,	266.7,	1.187,	286.3,	13.95,	"NAN",	"NAN",	"NAN",	0,	0,	2.98
"2024-01-01 18:10:00",	28867,	4.526,	90,	0,	0.078,	266.8,	0.7,	286.2,	26.76,	"NAN",	"NAN",	"NAN",	0,	0,	2.22
"2024-01-01 18:20:00",	28868,	4.4,	90.7,	0,	0.017,	266.8,	0.965,	286.3,	16.36,	"NAN",	"NAN",	"NAN",	0,	0,	2.29
"2024-01-01 18:30:00",	28869,	4.562,	89.7,	0,	0.172,	266.8,	1.048,	279.6,	19.17,	"NAN",	"NAN",	"NAN",	0,	0,	1.96
"2024-01-01 18:40:00",	28870,	4.506,	90.1,	0,	0.022,	266.8,	1.211,	270.8,	12.11,	"NAN",	"NAN",	"NAN",	0,	0,	3.1
"2024-01-01 18:50:00",	28871,	4.573,	89.5,	0,	0.167,	266.8,	1.127,	265.6,	14.68,	"NAN",	"NAN",	"NAN",	0,	0,	2.33
"2024-01-01 19:00:00",	28872,	4.597,	89.3,	0,	0.105,	266.8,	1.153,	270.4,	13.85,	"NAN",	"NAN",	"NAN",	0,	0,	2.25
"2024-01-01 19:10:00",	28873,	4.853,	88,	0,	0.067,	266.5,	1.545,	268.8,	15.71,	"NAN",	"NAN",	"NAN",	0,	0,	2.56
"2024-01-01 19:20:00",	28874,	4.755,	87.7,	0,	0.056,	266.3,	1.256,	270.9,	12.96,	"NAN",	"NAN",	"NAN",	0,	0,	2.83
"2024-01-01 19:30:00",	28875,	4.62,	88.1,	0,	0.117,	266.4,	1.407,	276.7,	13.73,	"NAN",	"NAN",	"NAN",	0,	0,	2.55
"2024-01-01 19:40:00",	28876,	4.38,	89.2,	0,	0.017,	266.8,	1.409,	275.1,	16.94,	"NAN",	"NAN",	"NAN",	0,	0,	3.52
"2024-01-01 19:50:00",	28877,	4.664,	88.1,	0,	0.172,	266.6,	1.885,	282.8,	10.04,	"NAN",	"NAN",	"NAN",	0,	0,	4.03
"2024-01-01 20:00:00",	28878,	4.814,	87.4,	0,	0.128,	266.2,	1.622,	278.7,	13.43,	"NAN",	"NAN",	"NAN",	0,	0,	2.55
